day_of_week,trip_id,date
Monday,1,22/07/2024
Monday,3,22/07/2024
Monday,5,22/07/2024
Tuesday,1,23/07/2024
Tuesday,2,23/07/2024
Tuesday,3,23/07/2024
Wednesday,1,24/07/2024
Wednesday,2,24/07/2024
Wednesday,3,24/07/2024
Wednesday,4,24/07/2024
Thursday,1,25/07/2024
Thursday,2,25/07/2024
Thursday,3,25/07/2024
Friday,1,26/07/2024
Friday,2,26/07/2024
Friday,4,26/07/2024
Monday,6,22/07/2024
Monday,8,22/07/2024
Monday,10,22/07/2024
Tuesday,6,23/07/2024
Tuesday,7,23/07/2024
Tuesday,8,23/07/2024
Wednesday,6,24/07/2024
Wednesday,7,24/07/2024
Wednesday,8,24/07/2024
Wednesday,9,24/07/2024
Thursday,6,25/07/2024
Thursday,7,25/07/2024
Thursday,8,25/07/2024
Friday,6,26/07/2024
Friday,7,26/07/2024
Friday,9,26/07/2024
Monday,11,22/07/2024
Monday,13,22/07/2024
Monday,15,22/07/2024
Tuesday,11,23/07/2024
Tuesday,12,23/07/2024
Tuesday,13,23/07/2024
Wednesday,11,24/07/2024
Wednesday,12,24/07/2024
Wednesday,13,24/07/2024
Wednesday,14,24/07/2024
Thursday,11,25/07/2024
Thursday,12,25/07/2024
Thursday,13,25/07/2024
Friday,11,26/07/2024
Friday,14,26/07/2024
Monday,16,22/07/2024
Monday,18,22/07/2024
Monday,20,22/07/2024
Tuesday,16,23/07/2024
Tuesday,17,23/07/2024
Tuesday,18,23/07/2024
Wednesday,16,24/07/2024
Wednesday,17,24/07/2024
Wednesday,18,24/07/2024
Wednesday,19,24/07/2024
Thursday,16,25/07/2024
Thursday,17,25/07/2024
Thursday,18,25/07/2024
Friday,16,26/07/2024
Friday,19,26/07/2024
Monday,21,22/07/2024
Monday,23,22/07/2024
Monday,25,22/07/2024
Tuesday,21,23/07/2024
Tuesday,22,23/07/2024
Tuesday,23,23/07/2024
Wednesday,21,24/07/2024
Wednesday,22,24/07/2024
Wednesday,23,24/07/2024
Wednesday,24,24/07/2024
Thursday,21,25/07/2024
Thursday,22,25/07/2024
Thursday,23,25/07/2024
Friday,21,26/07/2024
Friday,22,26/07/2024
Friday,24,26/07/2024
Monday,26,22/07/2024
Monday,29,22/07/2024
Monday,30,22/07/2024
Monday,50,22/07/2024
Monday,53,22/07/2024
Monday,54,22/07/2024
Monday,32,22/07/2024
Monday,35,22/07/2024
Monday,36,22/07/2024
Monday,38,22/07/2024
Monday,41,22/07/2024
Monday,42,22/07/2024
Monday,44,22/07/2024
Monday,47,22/07/2024
Monday,48,22/07/2024
Tuesday,26,23/07/2024
Tuesday,27,23/07/2024
Tuesday,28,23/07/2024
Tuesday,29,23/07/2024
Tuesday,30,23/07/2024
Tuesday,50,23/07/2024
Tuesday,51,23/07/2024
Tuesday,52,23/07/2024
Tuesday,53,23/07/2024
Tuesday,54,23/07/2024
Tuesday,32,23/07/2024
Tuesday,33,23/07/2024
Tuesday,34,23/07/2024
Tuesday,35,23/07/2024
Tuesday,36,23/07/2024
Tuesday,38,23/07/2024
Tuesday,39,23/07/2024
Tuesday,41,23/07/2024
Tuesday,42,23/07/2024
Tuesday,44,23/07/2024
Tuesday,45,23/07/2024
Tuesday,47,23/07/2024
Tuesday,48,23/07/2024
Wednesday,26,24/07/2024
Wednesday,27,24/07/2024
Wednesday,29,24/07/2024
Wednesday,30,24/07/2024
Wednesday,50,24/07/2024
Wednesday,51,24/07/2024
Wednesday,53,24/07/2024
Wednesday,54,24/07/2024
Wednesday,32,24/07/2024
Wednesday,33,24/07/2024
Wednesday,35,24/07/2024
Wednesday,36,24/07/2024
Wednesday,38,24/07/2024
Wednesday,41,24/07/2024
Wednesday,42,24/07/2024
Wednesday,44,24/07/2024
Wednesday,47,24/07/2024
Wednesday,48,24/07/2024
Thursday,26,25/07/2024
Thursday,27,25/07/2024
Thursday,29,25/07/2024
Thursday,30,25/07/2024
Thursday,50,25/07/2024
Thursday,51,25/07/2024
Thursday,53,25/07/2024
Thursday,54,25/07/2024
Thursday,32,25/07/2024
Thursday,33,25/07/2024
Thursday,35,25/07/2024
Thursday,36,25/07/2024
Thursday,38,25/07/2024
Thursday,39,25/07/2024
Thursday,41,25/07/2024
Thursday,42,25/07/2024
Thursday,44,25/07/2024
Thursday,45,25/07/2024
Thursday,47,25/07/2024
Thursday,48,25/07/2024
Friday,26,26/07/2024
Friday,27,26/07/2024
Friday,29,26/07/2024
Friday,30,26/07/2024
Friday,50,26/07/2024
Friday,51,26/07/2024
Friday,53,26/07/2024
Friday,54,26/07/2024
Friday,32,26/07/2024
Friday,33,26/07/2024
Friday,35,26/07/2024
Friday,36,26/07/2024
Friday,39,26/07/2024
Friday,41,26/07/2024
Friday,42,26/07/2024
Friday,45,26/07/2024
Friday,47,26/07/2024
Friday,48,26/07/2024